Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-36.71921,-160.7517,-37.08832,-31.43457,-167.3011,-28.65732,-35.10962,-165.4937,-26.13776,22.60121,-84.93018,-6.983459,42.95829,-86.72302,-4.749786,68.86039,-87.10242,-1.738007,24.29062,-79.2659,2.992414,56.12775,-74.99548,7.627104,84.78526,2.41562,84.64375,0.0627451,0.2,0.2627451,0.5058824
-37.2413,-161.8974,-37.21945,-32.57962,-168.0986,-28.92282,-36.77277,-165.9172,-26.65436,22.31516,-84.90082,-7.005737,42.27541,-86.65131,-4.735474,67.84938,-86.97681,-1.673462,22.62684,-79.4314,2.828886,52.87057,-75.80676,6.893396,82.26056,-40.59546,41.78894,0.05882353,0.2,0.254902,0.5294118
-38.07916,-163.19,-37.53476,-34.87695,-168.5038,-29.65921,-40.26578,-165.3476,-28.0784,22.31516,-84.90082,-7.005737,42.27541,-86.65134,-4.735474,67.84938,-86.97681,-1.673462,22.29357,-79.46375,2.796648,52.21971,-75.95331,6.76196,81.44923,-45.36896,37.04604,0.03137255,0.2,0.2509804,0.5411765
-39.38931,-166.4482,-37.70175,-37.84488,-170.666,-30.38788,-44.58279,-166.1801,-29.84482,22.60121,-84.93018,-6.983459,42.9583,-86.72302,-4.749756,68.86037,-87.10242,-1.738007,21.96013,-79.49585,2.764564,51.56906,-76.09515,6.635018,80.5903,-49.29428,33.15113,0,0.2039216,0.2470588,0.5803922
-40.49225,-171.4668,-37.20673,-38.91672,-175.7312,-29.80096,-45.68729,-171.2576,-29.31332,23.17342,-84.98859,-6.939117,44.32537,-86.86871,-4.78183,70.88438,-87.37881,-1.893097,22.29356,-79.46375,2.796642,52.21972,-75.95328,6.761962,81.44923,-45.36896,37.04604,0,0.2117647,0.2509804,0.6196079
-42.63538,177.8842,-35.75845,-40.97253,173.5411,-28.18179,-47.83264,177.9065,-27.73785,25.74955,-85.24844,-6.743713,50.49669,-87.57251,-4.992798,80.01933,-89.55722,-3.538818,22.29356,-79.46375,2.796647,52.2197,-75.95328,6.761962,81.44926,-45.36899,37.04602,0,0.2470588,0.2509804,0.7019608
-45.07608,163.1808,-32.96902,-43.25296,158.7893,-25.22772,-50.26736,162.809,-24.65747,26.8947,-85.36234,-6.658936,53.24803,-87.91949,-5.129852,84.08401,-92.29703,-6.047729,22.95993,-79.3988,2.861267,53.5217,-75.6554,7.029554,83.00715,-34.75522,47.59835,0,0.2666667,0.2588235,0.8235294
-45.87946,157.1916,-31.61102,-43.98111,152.8051,-23.83139,-51.06287,156.618,-23.14481,29.4702,-85.61511,-6.472809,59.45179,-88.82135,-5.578003,86.6139,104.6462,-168.595,23.95823,-79.2995,2.959393,55.47602,-75.16922,7.469171,84.59024,-8.855743,73.40412,0,0.3058824,0.2705882,0.8666667
-45.94696,155.3648,-31.1366,-42.26782,149.9742,-22.66763,-47.92227,152.5562,-20.99097,31.47107,-85.80865,-6.332367,64.28381,-89.7067,-6.126831,79.47997,96.85009,-176.0016,22.95994,-79.39883,2.861264,53.52169,-75.6554,7.029557,83.00715,-34.75528,47.59829,0.03529412,0.3294118,0.2588235,0.8745098
-45.98859,153.5044,-30.65274,-39.8786,146.8814,-21.37363,-43.53107,148.1772,-18.72409,34.89275,-86.13458,-6.100189,72.56084,-92.03223,-7.905151,67.17094,94.44921,-177.7418,23.29288,-79.36597,2.893817,54.17298,-75.49887,7.170714,83.66563,-27.61279,54.70972,0.07450981,0.372549,0.2627451,0.8862745
